"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R732,R500,R512,R526,R712,R832,R713,R501,R513";"R_1206";9;"47k";;;
2;"R835";"R_1206";1;"0R2";;;
3;"R820,R203,R204,R810";"R_1206";4;"2k2";;;
4;"H4,H1,H2,H3,H5,H6,H901,H902,H903,H904";"3mm_screw";10;"hole";;;
5;"C402,C101,C102,C203,C401,C403,C542,C602,C612,C830,C831,C900,C901,C106,C107,C108,C109,C732";"C_1206";18;"100nF";;;
6;"R612,R201,R401,R402,R403,R510,R520,R525,R602,R711,R714,R831,R902,R502";"R_1206";14;"10k";;;
7;"Q812,Q822";"SOT-23";2;"PBSS5350";;;
8;"C511,C515,C532";"C_Radial_D6.3_L11.2_P2.5";3;"470uF";;;
9;"F721";"Fuse_SMD1206_Reflow";1;"5A";;;
10;"R812,R822,R811,R821";"R_1206";4;"330";;;
11;"Q821,Q811,Q900";"SOT-23";3;"PBSS4320";;;
12;"RP90";"Potentiometer_Triwood_RM-065";1;"100k";;;
13;"R511,R721,R722,R731";"R_1206";4;"100k";;;
14;"R834,R833";"R_1206";2;"1k";;;
15;"BAT1,BAT2";"HFC1330";2;"BAT";;;
16;"D501,D510,D530";"SOD-123";3;"SCHOTTKY";;;
17;"H7";"MF85";1;"hole";;;
18;"J401,J402,J403,J730";"Pin_Header_Straight_1x02";4;"HEADER_2";;;
19;"J901,J902";"Pin_Header_Straight_1x06";2;"HEADER_6";;;
20;"U100";"lqfp32";1;"ATMEGA328P-A";;;
21;"U201";"SOIC-8-N";1;"MCP7940";;;
22;"X201";"Crystal_Round_Vertical_3mm_BigPad";1;"32.768K";;;
23;"J801,J802";"Pin_Header_Straight_1x01";2;"HEADER_1";;;
24;"C104,C105,C201,C202";"C_1206";4;"10pF";;;
25;"C501,C504,C512,C514,C521,C523,C531,C722,C902";"C_1206";9;"10uF";;;
26;"C503,C513,C522";"C_1206";3;"470pF";;;
27;"U500,U510,U520";"SOT-23-5";3;"MIC5205";;;
28;"U603,U604";"SOT-23";2;"A3144";;;
29;"U715";"SOT-23";1;"TLV431-DBZ";;;
30;"U830";"SOT-23-5";1;"MCP601-SOT";;;
31;"X104";"Crystal_HC49-SD_SMD";1;"16M";;;
32;"J101";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"HEADER_4x2";;;
33;"U900";"SO-16-W";1;"PCF8574";;;
